combo_id,status,profit,prices
109,Optimal,4759.3594,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 21.74, ""2-Supermarket"": 4.96, ""2-Online"": 9.04}"
110,Optimal,4906.316733333334,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 21.74, ""2-Supermarket"": 4.96, ""2-Online"": 12.92}"
111,Optimal,4917.104066666668,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 21.74, ""2-Supermarket"": 4.96, ""2-Online"": 16.79}"
112,Optimal,4776.890066666668,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 21.74, ""2-Supermarket"": 4.96, ""2-Online"": 20.67}"
113,Optimal,4504.987400000002,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 21.74, ""2-Supermarket"": 4.96, ""2-Online"": 24.55}"
114,Optimal,4610.2394,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 21.74, ""2-Supermarket"": 6.8, ""2-Online"": 5.16}"
115,Optimal,4849.850066666665,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 21.74, ""2-Supermarket"": 6.8, ""2-Online"": 9.04}"
116,Optimal,5013.408733333332,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 21.74, ""2-Supermarket"": 6.8, ""2-Online"": 12.92}"
117,Optimal,5016.794733333333,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 21.74, ""2-Supermarket"": 6.8, ""2-Online"": 16.79}"
118,Optimal,4878.462066666667,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 21.74, ""2-Supermarket"": 6.8, ""2-Online"": 20.67}"
119,Optimal,4610.2394,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 21.74, ""2-Supermarket"": 6.8, ""2-Online"": 24.55}"
120,Optimal,4688.706733333334,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 21.74, ""2-Supermarket"": 8.63, ""2-Online"": 5.16}"
121,Optimal,4943.078733333332,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 21.74, ""2-Supermarket"": 8.63, ""2-Online"": 9.04}"
122,Optimal,5075.324733333333,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 21.74, ""2-Supermarket"": 8.63, ""2-Online"": 12.92}"
123,Optimal,5093.452066666668,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 21.74, ""2-Supermarket"": 8.63, ""2-Online"": 16.79}"
124,Optimal,4960.609399999999,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 21.74, ""2-Supermarket"": 8.63, ""2-Online"": 20.67}"
125,Optimal,4670.325400000001,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 21.74, ""2-Supermarket"": 8.63, ""2-Online"": 24.55}"
126,Optimal,4695.794066666668,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 21.74, ""2-Supermarket"": 10.46, ""2-Online"": 5.16}"
127,Optimal,4934.404733333335,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 21.74, ""2-Supermarket"": 10.46, ""2-Online"": 9.04}"
128,Optimal,5089.762066666665,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 21.74, ""2-Supermarket"": 10.46, ""2-Online"": 12.92}"
129,Optimal,5111.549400000001,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 21.74, ""2-Supermarket"": 10.46, ""2-Online"": 16.79}"
130,Optimal,4943.8354,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 21.74, ""2-Supermarket"": 10.46, ""2-Online"": 20.67}"
131,Optimal,4682.932733333334,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 21.74, ""2-Supermarket"": 10.46, ""2-Online"": 24.55}"
132,Optimal,4636.980066666669,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 21.74, ""2-Supermarket"": 12.29, ""2-Online"": 5.16}"
133,Optimal,4883.592066666668,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 21.74, ""2-Supermarket"": 12.29, ""2-Online"": 9.04}"
134,Optimal,5033.7494000000015,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 21.74, ""2-Supermarket"": 12.29, ""2-Online"": 12.92}"
135,Optimal,5016.0854,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 21.74, ""2-Supermarket"": 12.29, ""2-Online"": 16.79}"
